hood_id,Assault,Auto Theft,Break and Enter,Robbery,Theft Over,No Degree %,Highschool %,Post-secondary %
44,575,32,97,92,19,25.9917754845455,29.418329814319705,44.589894701134796
45,607,135,244,100,24,13.817310944734357,25.946969307844945,60.23571974742069
46,159,44,75,35,13,17.309917124427297,25.39943125518415,57.29065162038855
47,518,129,229,114,32,11.021523417663355,23.231347571861477,65.74712901047516
48,230,75,142,62,13,12.541187742178634,22.98476847739402,64.47404378042734
49,141,54,128,12,8,11.944386550545637,21.437344759845114,66.61826868960924
50,533,110,230,84,42,10.767100283229315,23.476075895430732,65.75682382133995
51,720,139,342,155,59,7.992188051796425,20.324131017692377,71.68368093051122
52,348,77,157,32,31,10.150991783116137,21.533207724917567,68.31580049196629
53,207,43,94,16,15,8.894237250472186,20.956336020616916,70.1494267289109
54,520,42,138,62,23,19.04941791115501,28.379217089503907,52.57136499934107
55,370,38,107,50,33,21.26045104510451,27.10269080843111,51.636858146464384
56,154,30,138,39,21,5.943152454780361,21.44702842377261,72.60981912144703
57,146,15,63,20,4,16.659231114052126,23.3025593954789,60.03820949046897
58,291,21,93,42,13,17.32082037600165,24.770687798294105,57.90849182570424
59,194,30,99,24,4,18.8399850852698,21.234915165667815,59.92509974906238
60,187,12,97,34,11,15.189679351036439,26.56638213636712,58.243938512596436
61,374,35,155,87,9,16.29494666101197,24.766254526473755,58.93879881251427
62,741,84,342,148,35,13.738641862913704,22.763777596012076,63.497580541074214
63,344,46,172,91,23,7.990313540676416,18.92743376745626,73.08225269186732
64,298,22,128,41,10,13.900824511931704,20.433592566892997,65.6655829211753
65,379,58,171,56,25,16.538515400633088,22.903693847589505,60.55779075177742
66,527,46,196,127,23,17.853409329741027,21.18833890688464,60.958251763374335
67,309,31,157,61,11,9.881053302105933,18.323945955524906,71.79500074236917
68,154,26,129,102,11,10.33904029960197,18.79652522006109,70.86443448033694
69,210,16,70,45,3,18.113608233991272,21.217510259917923,60.66888150609081
70,762,91,396,173,71,16.78802902330814,21.612654314399958,61.599316662291905
71,434,42,273,105,23,7.20126058662547,18.523315132979082,74.27542428039546
72,483,35,130,75,18,19.77894488907153,25.590098374786386,54.63095673614208
73,1557,78,484,462,56,12.521094615256212,22.84042541824813,64.63847996649567
74,671,60,281,122,33,6.06826801517067,18.710493046776232,75.22123893805309
75,3022,121,722,679,141,3.443328550932568,14.060258249641318,82.49641319942612
76,1897,77,410,213,135,2.804438241109578,21.884226579201638,75.31133517968878
77,2979,187,757,215,190,5.628297235145773,19.226245980660135,75.1454567841941
78,1548,108,389,289,95,18.656941404360538,26.770071418648293,54.57298717699117
79,598,46,229,126,22,8.712947526292455,19.617627960184684,71.66942451352286
80,323,69,155,67,17,13.447947857804987,19.263302804995842,67.28874933719916
81,598,58,229,70,26,21.37925965090523,22.527946818732715,56.092793530362044
82,630,71,242,47,53,8.214156648489604,19.895307594280393,71.89053575723
83,249,26,82,71,17,20.632994904240576,20.384693950786996,58.98231114497243
84,318,44,140,31,10,21.133321967572023,21.482947177888875,57.3837308545391
85,640,58,191,93,22,14.714814379275555,21.422137475186176,63.86304814553828
86,666,62,212,127,23,14.586963242494937,22.133146533831464,63.2798902236736
87,257,48,133,68,20,7.762128637969305,17.669045027618704,74.568826334412
88,461,40,168,137,13,7.843078679786445,17.13387420403076,75.02304711618278
89,182,64,102,76,6,12.276016091304093,17.57289496586047,70.15108894283543
90,411,97,159,69,20,13.866400935352246,20.46849122271975,65.665107841928
91,345,62,72,49,17,32.96089575836877,27.468094627994038,39.57100961363719
92,365,47,101,108,10,27.446090622116603,23.62939677489385,48.92451260298955
93,1075,131,355,247,40,21.01014720591948,23.13280314864443,55.857049645436085
94,232,54,137,49,13,16.368814479912505,20.208689349687578,63.42249617039992
95,1225,81,591,260,113,6.02063892436292,16.43123361839603,77.54812745724105
96,163,19,119,26,24,5.151953177567592,17.06621075199782,77.7818360704346
97,93,12,69,7,12,3.683568754109492,16.403289121279883,79.91314212461062
98,636,63,352,122,41,5.928906883432217,16.00231370981826,78.06877940674951
99,152,34,88,18,11,7.395644036065126,16.45899549668587,76.145360467249
100,112,17,84,33,9,5.735291167679685,14.282010390965077,79.98269844135524
101,70,35,144,5,17,7.083071453000458,17.876726186817464,75.04020236018208
102,169,46,152,39,14,8.340672042270963,20.165808955059582,71.49351900266947
103,76,78,195,19,13,7.800729231596779,14.88815980650314,77.3111109619001
104,540,32,235,79,24,6.045379689425669,17.121362744557203,76.83325756601712
105,112,83,134,16,16,7.780037340216549,15.533393680550558,76.68656897923289
106,116,50,95,20,13,9.160903646697813,18.334283790306156,72.50481256299604
107,385,52,109,77,9,25.234548568019207,23.510975137048245,51.25447629493255
108,479,74,156,130,22,23.310441934506574,25.595063160260707,51.094494905232715
109,161,28,47,24,6,36.92287528643786,25.315187336698713,37.76193737686343
110,189,66,55,73,7,38.372850456506875,28.39916177267537,33.227987770817755
111,509,157,138,166,21,30.7775696310381,29.307555729100113,39.914874639861786
112,269,46,81,78,11,29.940281690140843,28.7618779342723,41.29784037558685
113,631,164,175,147,15,24.206926640415634,28.43102653703998,47.362046822544386
114,77,18,39,9,3,14.122993450294787,19.732647368367275,66.14435918133793
115,418,80,97,119,8,26.271451443819853,30.9383561329315,42.79019242324865
116,177,97,215,45,16,22.816099103338782,29.35967497553246,47.82422592112876
117,633,90,292,178,27,21.88613294347684,28.540101350561706,49.573765705961456
118,375,81,206,94,23,19.427329718438443,27.531112411650877,53.04155786991068
119,984,224,391,166,62,18.901668905959667,30.82458173932409,50.27374935471625
120,957,137,431,188,37,19.434496284901886,28.429186510473535,52.136317204624575
121,635,63,262,156,22,21.2602521206869,28.0343476497861,50.705400229526994
122,624,57,307,78,19,15.513336482984068,27.813527253558544,56.67313626345739
123,404,56,197,105,16,15.690950173708794,29.329740076866518,54.979309749424694
124,823,68,167,185,16,20.81715494679683,30.700932304065866,48.48191274913731
125,412,42,131,70,14,21.387116183780122,28.395585228981904,50.217298587237984
126,669,164,335,157,28,19.656515614781185,30.324896149820972,50.01858823539784
127,963,189,300,295,52,23.01394257538949,31.178857033176158,45.80720039143436
128,446,122,287,118,54,20.59935839163377,29.746181577615367,49.65446003075086
129,301,92,222,115,22,25.637119099350425,29.52388405610931,44.838996844540276
130,367,170,386,149,55,29.986912868606083,30.571306298091912,39.441780833302
131,741,184,303,159,50,12.790917266218699,28.95972419365288,58.249358540128426
132,1014,138,204,206,27,20.436697061552078,32.630346009258695,46.93295692918923
133,151,19,60,21,5,11.638224372196602,25.30731677317186,63.054458854631534
134,357,71,135,92,12,14.879354978619013,29.205040627266015,55.91560439411498
135,495,56,83,66,3,16.97585253510487,30.435315558680045,52.588831906215084
136,1552,86,312,271,28,21.948464476358417,28.8466741155879,49.204861408053674
137,1507,160,432,356,64,20.406047221677984,30.40185883778502,49.19209394053699
138,863,103,265,226,21,20.391670275677775,31.4731814896692,48.135148234653016
139,630,64,163,111,12,20.952867502914913,28.8740456135631,50.17308688352199
140,192,13,66,39,9,12.954793623061803,26.2633034869331,60.7819028900051
