census_tract,hood_id,neighbourhood,dguid
5350237.03,7,Willowridge-Martingrove-Richview,2016S05075350237.03
5350238.01,7,Willowridge-Martingrove-Richview,2016S05075350238.01
5350238.02,6,Kingsview Village-The Westway,2016S05075350238.02
5350239.00,6,Kingsview Village-The Westway,2016S05075350239.00
5350240.01,7,Willowridge-Martingrove-Richview,2016S05075350240.01
5350240.02,8,Humber Heights-Westmount,2016S05075350240.02
5350241.00,8,Humber Heights-Westmount,2016S05075350241.00
5350242.00,8,Humber Heights-Westmount,2016S05075350242.00
5350243.01,6,Kingsview Village-The Westway,2016S05075350243.01
5350243.02,6,Kingsview Village-The Westway,2016S05075350243.02
5350244.01,5,Elms-Old Rexdale,2016S05075350244.01
5350244.02,5,Elms-Old Rexdale,2016S05075350244.02
5350245.00,4,Rexdale-Kipling,2016S05075350245.00
5350246.00,4,Rexdale-Kipling,2016S05075350246.00
5350247.01,1,West Humber-Clairville,2016S05075350247.01
5350247.02,1,West Humber-Clairville,2016S05075350247.02
5350248.02,2,Mount Olive-Silverstone-Jamestown,2016S05075350248.02
5350248.03,1,West Humber-Clairville,2016S05075350248.03
5350248.04,1,West Humber-Clairville,2016S05075350248.04
5350248.05,1,West Humber-Clairville,2016S05075350248.05
5350249.01,2,Mount Olive-Silverstone-Jamestown,2016S05075350249.01
5350249.03,1,West Humber-Clairville,2016S05075350249.03
5350249.04,2,Mount Olive-Silverstone-Jamestown,2016S05075350249.04
5350249.05,2,Mount Olive-Silverstone-Jamestown,2016S05075350249.05
5350250.01,3,Thistletown-Beaumond Heights,2016S05075350250.01
5350250.02,3,Thistletown-Beaumond Heights,2016S05075350250.02
5350250.04,2,Mount Olive-Silverstone-Jamestown,2016S05075350250.04
5350250.05,2,Mount Olive-Silverstone-Jamestown,2016S05075350250.05
5350260.01,44,Flemingdon Park,2016S05075350260.01
5350260.04,44,Flemingdon Park,2016S05075350260.04
5350260.05,44,Flemingdon Park,2016S05075350260.05
5350261.00,43,Victoria Village,2016S05075350261.00
5350262.01,43,Victoria Village,2016S05075350262.01
5350262.02,43,Victoria Village,2016S05075350262.02
5350263.02,42,Banbury-Don Mills,2016S05075350263.02
5350263.03,42,Banbury-Don Mills,2016S05075350263.03
5350263.04,42,Banbury-Don Mills,2016S05075350263.04
5350264.00,41,Bridle Path-Sunnybrook-York Mills,2016S05075350264.00
5350265.00,41,Bridle Path-Sunnybrook-York Mills,2016S05075350265.00
5350266.00,41,Bridle Path-Sunnybrook-York Mills,2016S05075350266.00
5350267.00,42,Banbury-Don Mills,2016S05075350267.00
5350268.00,42,Banbury-Don Mills,2016S05075350268.00
5350269.01,45,Parkwoods-Donalda,2016S05075350269.01
5350269.02,45,Parkwoods-Donalda,2016S05075350269.02
5350270.01,45,Parkwoods-Donalda,2016S05075350270.01
5350270.02,45,Parkwoods-Donalda,2016S05075350270.02
5350271.01,45,Parkwoods-Donalda,2016S05075350271.01
5350271.02,45,Parkwoods-Donalda,2016S05075350271.02
5350272.01,45,Parkwoods-Donalda,2016S05075350272.01
5350272.02,45,Parkwoods-Donalda,2016S05075350272.02
5350273.01,40,St.Andrew-Windfields,2016S05075350273.01
5350273.02,40,St.Andrew-Windfields,2016S05075350273.02
5350274.01,40,St.Andrew-Windfields,2016S05075350274.01
5350274.02,40,St.Andrew-Windfields,2016S05075350274.02
5350275.00,39,Bedford Park-Nortown,2016S05075350275.00
5350276.01,39,Bedford Park-Nortown,2016S05075350276.01
5350276.02,39,Bedford Park-Nortown,2016S05075350276.02
5350277.00,39,Bedford Park-Nortown,2016S05075350277.00
5350278.00,32,Englemount-Lawrence,2016S05075350278.00
5350279.01,31,Yorkdale-Glen Park,2016S05075350279.01
5350279.02,31,Yorkdale-Glen Park,2016S05075350279.02
5350280.00,30,Brookhaven-Amesbury,2016S05075350280.00
5350281.01,30,Brookhaven-Amesbury,2016S05075350281.01
5350281.02,30,Brookhaven-Amesbury,2016S05075350281.02
5350282.00,23,Pelmo Park-Humberlea,2016S05075350282.00
5350283.01,28,Rustic,2016S05075350283.01
5350283.02,28,Rustic,2016S05075350283.02
5350284.00,29,Maple Leaf,2016S05075350284.00
5350285.00,29,Maple Leaf,2016S05075350285.00
5350286.00,31,Yorkdale-Glen Park,2016S05075350286.00
5350287.02,32,Englemount-Lawrence,2016S05075350287.02
5350288.00,33,Clanton Park,2016S05075350288.00
5350289.00,26,Downsview-Roding-CFB,2016S05075350289.00
5350291.02,26,Downsview-Roding-CFB,2016S05075350291.02
5350292.00,26,Downsview-Roding-CFB,2016S05075350292.00
5350293.00,23,Pelmo Park-Humberlea,2016S05075350293.00
5350294.01,26,Downsview-Roding-CFB,2016S05075350294.01
5350294.02,25,Glenfield-Jane Heights,2016S05075350294.02
5350295.00,26,Downsview-Roding-CFB,2016S05075350295.00
5350296.00,26,Downsview-Roding-CFB,2016S05075350296.00
5350297.01,34,Bathurst Manor,2016S05075350297.01
