Division,FID,Hood_ID,Index_,Lat,Long,MCI,Neighbourhood,event_unique_id,occurrencedate,occurrenceday,occurrencedayofweek,occurrencedayofyear,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear,ucr_code,ucr_ext
D14,179,81,70,43.6506081,-79.4232254,Assault,Trinity-Bellwoods (81),GO-20141370587,1.07293E+12,1,Thursday  ,1,0,January,2004,Assault,Apartment,1.39011E+12,19,Sunday    ,19,1,January,2014,1430,100
D23,180,2,71,43.7419281,-79.5942078,Theft Over,Mount Olive-Silverstone-Jamestown (2),GO-20141902589,1.07293E+12,1,Thursday  ,1,0,January,2004,Theft From Motor Vehicle Over,Outside,1.39762E+12,16,Wednesday ,106,13,April,2014,2132,200
D32,181,35,72,43.7890816,-79.4465332,Assault,Westminster-Branson (35),GO-2015112781,1.07293E+12,1,Thursday  ,1,0,January,2004,Assault With Weapon,Apartment,1.42173E+12,20,Tuesday   ,20,11,January,2015,1420,100
D42,182,118,73,43.7821198,-79.2934647,Assault,Tam O'Shanter-Sullivan (118),GO-20142319116,1.07293E+12,1,Thursday  ,1,20,January,2004,Assault,Apartment,1.40306E+12,18,Wednesday ,169,19,June,2014,1430,100
D33,183,52,74,43.7694817,-79.3709183,Assault,Bayview Village (52),GO-20141527565,1.19916E+12,1,Tuesday   ,1,0,January,2008,Assault,Apartment,1.39235E+12,14,Friday    ,45,12,February,2014,1430,100
D31,184,26,75,43.7318192,-79.5112762,Assault,Downsview-Roding-CFB (26),GO-20142170278,1.19916E+12,1,Tuesday   ,1,0,January,2008,Assault With Weapon,Apartment,1.40125E+12,28,Wednesday ,148,13,May,2014,1420,100
D31,185,26,76,43.7318192,-79.5112762,Assault,Downsview-Roding-CFB (26),GO-20142170278,1.19916E+12,1,Tuesday   ,1,0,January,2008,Assault,Apartment,1.40125E+12,28,Wednesday ,148,13,May,2014,1430,100
D13,186,108,77,43.6930313,-79.4622116,Assault,Briar Hill-Belgravia (108),GO-20143553281,1.19916E+12,1,Tuesday   ,1,0,January,2008,Assault,House,1.41957E+12,26,Friday    ,360,23,December,2014,1430,100
D52,187,76,78,43.6684799,-79.387413,Assault,Bay Street Corridor (76),GO-201563788,1.19916E+12,1,Tuesday   ,1,7,January,2008,Assault,Apartment,1.42104E+12,12,Monday    ,12,7,January,2015,1430,100
D31,188,22,79,43.7484856,-79.5501099,Assault,Humbermede (22),GO-20151242923,1.26232E+12,1,Friday    ,1,0,January,2010,Assault With Weapon,Apartment,1.43736E+12,20,Monday    ,201,17,July,2015,1420,100
D31,189,22,80,43.7484856,-79.5501099,Assault,Humbermede (22),GO-20151242923,1.26232E+12,1,Friday    ,1,0,January,2010,Assault,Apartment,1.43736E+12,20,Monday    ,201,17,July,2015,1430,100
D43    ,190,139,81,43.7417946,-79.2251663,Assault,Scarborough Village (139),GO-2015899088,1.26232E+12,1,Friday    ,1,10,January,2010,Assault,Apartment,1.43287E+12,29,Friday    ,149,19,May,2015,1430,100
D43    ,191,139,82,43.7417946,-79.2251663,Assault,Scarborough Village (139),GO-2015899088,1.26232E+12,1,Friday    ,1,10,January,2010,Assault With Weapon,Apartment,1.43287E+12,29,Friday    ,149,19,May,2015,1420,100
D55,192,64,83,43.6819115,-79.3230209,Assault,Woodbine Corridor (64),GO-2015113725,1.26232E+12,1,Friday    ,1,7,January,2010,Assault With Weapon,House,1.42173E+12,20,Tuesday   ,20,15,January,2015,1420,100
D53,193,55,84,43.7074776,-79.3436279,Assault,Thorncliffe Park (55),GO-20171576225,1.26232E+12,1,Friday    ,1,0,January,2010,Assault,Apartment,1.50415E+12,31,Thursday  ,243,13,August,2017,1430,100
D54,194,58,85,43.6894341,-79.3488159,Assault,Old East York (58),GO-20143248562,1.26232E+12,1,Friday    ,1,15,January,2010,Assault,Apartment,1.41525E+12,6,Thursday  ,310,8,November,2014,1430,100
D31,195,24,86,43.7559319,-79.5242844,Assault,Black Creek (24),GO-20152037136,1.26232E+12,1,Friday    ,1,0,January,2010,Assault,Apartment,1.44851E+12,26,Thursday  ,330,0,November,2015,1430,100
D51,196,71,87,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),GO-20141963354,8.83631E+11,,,,0,,,Assault With Weapon,Apartment,1.39848E+12,26,Saturday  ,116,15,April,2014,1420,100
D51,197,71,88,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),GO-20141963354,8.83631E+11,,,,0,,,Assault With Weapon,Apartment,1.39848E+12,26,Saturday  ,116,15,April,2014,1420,100
D51,198,71,89,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),GO-20141963354,8.83631E+11,,,,0,,,Assault,Apartment,1.39848E+12,26,Saturday  ,116,15,April,2014,1430,100
D43,199,127,90,43.7721443,-79.2514954,Assault,Bendale (127),GO-20143453650,8.20472E+11,,,,16,,,Assault With Weapon,Other,1.4181E+12,9,Tuesday   ,343,13,December,2014,1420,100
D42,200,118,91,43.7821198,-79.2934647,Assault,Tam O'Shanter-Sullivan (118),GO-20141371754,1.27536E+12,1,Tuesday   ,152,9,June,2010,Assault,Apartment,1.39011E+12,19,Sunday    ,19,11,January,2014,1430,100
D43,201,127,92,43.7700691,-79.2613297,Assault,Bendale (127),GO-20161670459,1.27536E+12,1,Tuesday   ,152,0,June,2010,Assault,House,1.47426E+12,19,Monday    ,263,21,September,2016,1430,100
D51,202,77,93,43.6501122,-79.3635406,Theft Over,Waterfront Communities-The Island (77),GO-20173047245,1.28798E+12,25,Monday    ,298,13,October,2010,Theft - Misapprop Funds Over,Commercial,1.51133E+12,22,Wednesday ,326,11,November,2017,2130,220
D14,203,86,94,43.6394386,-79.4424973,Assault,Roncesvalles (86),GO-20142822998,1.28858E+12,1,Monday    ,305,22,November,2010,Assault Bodily Harm,House,1.40963E+12,2,Tuesday   ,245,0,September,2014,1420,110
D43,204,127,95,43.7463684,-79.2445602,Assault,Bendale (127),GO-20141928151,1.28858E+12,1,Monday    ,305,0,November,2010,Assault Bodily Harm,House,1.39797E+12,20,Sunday    ,110,22,April,2014,1420,110
D33,205,52,96,43.7794495,-79.3778305,Assault,Bayview Village (52),GO-201584751,1.29455E+12,9,Sunday    ,9,0,January,2011,Assault,House,1.4213E+12,15,Thursday  ,15,14,January,2015,1430,100
D52,206,75,97,43.6579094,-79.3815842,Assault,Church-Yonge Corridor (75),GO-2015860874,1.29541E+12,19,Wednesday ,19,17,January,2011,Assault,Outside,1.43235E+12,23,Saturday  ,143,17,May,2015,1430,100
D52,207,75,98,43.6579094,-79.3815842,Assault,Church-Yonge Corridor (75),GO-2015860874,1.29541E+12,19,Wednesday ,19,17,January,2011,Aggravated Assault,Outside,1.43235E+12,23,Saturday  ,143,17,May,2015,1410,100
D41,208,119,99,43.7564964,-79.2954178,Theft Over,Wexford/Maryvale (119),GO-20143403017,1.29714E+12,8,Tuesday   ,39,0,February,2011,Theft Over,House,1.41741E+12,1,Monday    ,335,13,December,2014,2130,210
D31,209,21,100,43.7520943,-79.5423813,Assault,Humber Summit (21),GO-20142659130,1.30163E+12,1,Friday    ,91,7,April,2011,Assault,Apartment,1.40747E+12,8,Friday    ,220,8,August,2014,1430,100
D42,210,118,101,43.7821198,-79.2934647,Assault,Tam O'Shanter-Sullivan (118),GO-20143470985,1.30163E+12,1,Friday    ,91,11,April,2011,Assault,Outside,1.41836E+12,12,Friday    ,346,11,December,2014,1430,100
D31,211,22,102,43.7459641,-79.5410919,Assault,Humbermede (22),GO-20142956569,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault With Weapon,Apartment,1.41136E+12,22,Monday    ,265,1,September,2014,1420,100
D31,212,22,103,43.7459641,-79.5410919,Assault,Humbermede (22),GO-20142956569,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault With Weapon,Apartment,1.41136E+12,22,Monday    ,265,1,September,2014,1420,100
D43,213,127,104,43.7495461,-79.2444687,Assault,Bendale (127),GO-2017491920,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault,House,1.4899E+12,19,Sunday    ,78,15,March,2017,1430,100
D42,214,118,105,43.7810555,-79.2981033,Assault,Tam O'Shanter-Sullivan (118),GO-20161394388,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault,Apartment,1.47063E+12,8,Monday    ,221,10,August,2016,1430,100
D12,215,113,106,43.7060318,-79.5312347,Assault,Weston (113),GO-2015334684,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault,House,1.42493E+12,26,Thursday  ,57,8,February,2015,1430,100
