" CT UID - Census Tract Unique Identifier
(""CMA Code""+""0""+""Census Tract ID""),
n=531","CT ID - Census Tract Identifier,
n=531","Neighb ID, 
 n=140","Neighbourhood Name,
 n=140","CPA ID,
n=46","CPA Name 
(Community Planning Area),
 n=46","Sub-LHIN ID,
n=14","Sub-LHIN Name, 
n=14","LHIN ID,
n=5","LHIN Name, 
n=5"
5350194.03,194.03,55,Thorncliffe Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350194.04,194.04,55,Thorncliffe Park,771,Thorncliffe Flemingdon,0707,North East,7,Toronto Central
5350195.00,195.00,56,Leaside-Bennington,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350196.00,196.00,56,Leaside-Bennington,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350200.00,200.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350201.00,201.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350202.00,202.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350203.00,203.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350204.00,204.00,18,New Toronto,711,Lakeshore West,0701,West,7,Toronto Central
5350205.00,205.00,18,New Toronto,711,Lakeshore West,0701,West,7,Toronto Central
5350206.01,206.01,19,Long Branch,662,Long Branch Alderwood,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350206.02,206.02,19,Long Branch,662,Long Branch Alderwood,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350207.00,207.00,18,New Toronto,711,Lakeshore West,0701,West,7,Toronto Central
5350208.00,208.00,18,New Toronto,711,Lakeshore West,0701,West,7,Toronto Central
5350209.00,209.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350210.00,210.00,17,Mimico,711,Lakeshore West,0701,West,7,Toronto Central
5350211.00,211.00,20,Alderwood,662,Long Branch Alderwood,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350212.00,212.00,20,Alderwood,662,Long Branch Alderwood,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350213.00,213.00,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350214.00,214.00,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350215.00,215.00,16,Stonegate-Queensway,712,Kingsway Swansea,0701,West,7,Toronto Central
5350216.00,216.00,16,Stonegate-Queensway,712,Kingsway Swansea,0701,West,7,Toronto Central
5350217.00,217.00,16,Stonegate-Queensway,712,Kingsway Swansea,0701,West,7,Toronto Central
5350218.00,218.00,16,Stonegate-Queensway,712,Kingsway Swansea,0701,West,7,Toronto Central
5350219.00,219.00,16,Stonegate-Queensway,712,Kingsway Swansea,0701,West,7,Toronto Central
5350220.00,220.00,12,Markland Wood,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350221.01,221.01,12,Markland Wood,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350221.02,221.02,13,Etobicoke West Mall,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350222.01,222.01,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350222.02,222.02,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350223.00,223.00,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350224.00,224.00,10,Princess-Rosethorn,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350225.01,225.01,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350225.02,225.02,14,Islington-City Centre West,661,Kipling Centre,0606,South Etobicoke-Toronto,6,Mississauga Halton
5350226.00,226.00,15,Kingsway South,712,Kingsway Swansea,0701,West,7,Toronto Central
5350227.00,227.00,15,Kingsway South,712,Kingsway Swansea,0701,West,7,Toronto Central
5350228.00,228.00,15,Kingsway South,712,Kingsway Swansea,0701,West,7,Toronto Central
5350229.00,229.00,15,Kingsway South,712,Kingsway Swansea,0701,West,7,Toronto Central
5350230.01,230.01,9,Edenbridge-Humber Valley,712,Kingsway Swansea,0701,West,7,Toronto Central
